0.522174	0.522174	Pendant
1.052769	1.052769	que
1.195946	1.195946	le
1.440189	1.440189	petit
1.810763	1.810763	homme
2.248715	2.248715	est
2.324515	2.324515	en
2.526647	2.526647	train
2.855111	2.855111	d'inspecter
3.646793	3.646793	sa
3.798392	3.798392	cheville
4.977494	4.977494	Lily
5.600733	5.600733	voit
5.769176	5.769176	le
5.937619	5.937619	visage
6.535592	6.535592	d'une
6.906167	6.906167	petite
7.344119	7.344119	femme
8.009469	8.009469	dans
8.194757	8.194757	le
8.388466	8.388466	même
8.801152	8.801152	buisson
